"<U+0130>stihdam edilenlerin i<U+015F>teki durumu...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","<U+0130>stihdam edilenlerin i<U+015F>teki durumu...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","<U+0130>stihdam edilenlerin i<U+015F>teki durumu...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59"
"Employed by status in employment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Employed by status in employment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Employed by status in employment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[15+ ya<U+015F> - age]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Bin ki<U+015F>i - Thousand person)",NA,"[15+ ya<U+015F> - age]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Bin ki<U+015F>i - Thousand person)",NA,"[15+ ya<U+015F> - age]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Bin ki<U+015F>i - Thousand person)"
NA,NA,"Toplam - Total",NA,NA,NA,NA,NA,"Tar<U+0131>m - Agriculture",NA,NA,NA,NA,NA,"Tar<U+0131>m d<U+0131><U+015F><U+0131> - Non-Agriculture",NA,NA,NA,NA,NA,NA,NA,"Toplam - Total",NA,NA,NA,NA,NA,"Tar<U+0131>m - Agriculture",NA,NA,NA,NA,NA,"Tar<U+0131>m d<U+0131><U+015F><U+0131> - Non-Agriculture",NA,NA,NA,NA,NA,NA,NA,"Toplam - Total",NA,NA,NA,NA,NA,"Tar<U+0131>m - Agriculture",NA,NA,NA,NA,NA,"Tar<U+0131>m d<U+0131><U+015F><U+0131> - Non-Agriculture",NA,NA,NA,NA
"Y<U+0131>llar - Years",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker",NA,"Y<U+0131>llar - Years",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker",NA,"Y<U+0131>llar - Years",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker",NA,"Toplam 
Total","<U+00DC>cretli veya yevmiyeli    
Regular employee and casual employee","<U+0130><U+015F>veren 
Employer","Kendi hesab<U+0131>na 
Own account worker","<U+00DC>cretsiz aile i<U+015F><U+00E7>isi                 
Unpaid family worker"
"Toplam - Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erkek - Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kad<U+0131>n - Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021","I. <U+00C7>eyrek - Quarter I","27391","19140","1265","4569","2416",NA,"4570","501","57","2044","1968",NA,"22821","18639","1208","2525","449",NA,"2021","I. <U+00C7>eyrek - Quarter I","18968","13299","1106","3741","823",NA,"2803","352","56","1849","547",NA,"16165","12947","1050","1892","276",NA,"2021","I. <U+00C7>eyrek - Quarter I","8422","5841","160","828","1594",NA,"1766","149","2","195","1421",NA,"6656","5692","158","633","173"
NA,"II. <U+00C7>eyrek - Quarter II","28448","19918","1328","4483","2719",NA,"5060","655","87","2046","2271",NA,"23389","19263","1241","2437","447",NA,NA,"II. <U+00C7>eyrek - Quarter II","19567","13802","1166","3723","876",NA,"2952","421","82","1850","599",NA,"16615","13381","1085","1872","277",NA,NA,"II. <U+00C7>eyrek - Quarter II","8881","6116","162","761","1843",NA,"2108","234","6","196","1673",NA,"6773","5882","157","565","170"
NA,"III. <U+00C7>eyrek - Quarter III","29652","20532","1344","4729","3047",NA,"5432","782","70","2100","2480",NA,"24220","19750","1274","2629","567",NA,NA,"III. <U+00C7>eyrek - Quarter III","20324","14218","1159","3965","982",NA,"3064","468","64","1881","650",NA,"17260","13749","1096","2084","332",NA,NA,"III. <U+00C7>eyrek - Quarter III","9327","6314","185","764","2065",NA,"2368","314","6","219","1829",NA,"6959","6000","179","545","235"
NA,"IV. <U+00C7>eyrek - Quarter IV","29815","21019","1329","4884","2583",NA,"4734","583","56","2053","2043",NA,"25081","20436","1273","2831","541",NA,NA,"IV. <U+00C7>eyrek - Quarter IV","20355","14372","1139","4017","827",NA,"2784","403","51","1815","514",NA,"17572","13968","1088","2202","313",NA,NA,"IV. <U+00C7>eyrek - Quarter IV","9460","6648","190","867","1756",NA,"1951","180","4","238","1528",NA,"7509","6467","185","629","228"
"2022","I. <U+00C7>eyrek - Quarter I","29418","20844","1335","4921","2317",NA,"4362","416","54","2048","1844",NA,"25056","20428","1282","2874","473",NA,"2022","I. <U+00C7>eyrek - Quarter I","20026","14108","1180","4029","709",NA,"2623","301","52","1820","450",NA,"17402","13806","1128","2209","258",NA,"2022","I. <U+00C7>eyrek - Quarter I","9392","6736","155","892","1608",NA,"1738","115","2","228","1394",NA,"7654","6622","153","664","214"
NA,"II. <U+00C7>eyrek - Quarter II","30765","21583","1379","5072","2732",NA,"4984","623","59","2106","2196",NA,"25781","20959","1321","2966","535",NA,NA,"II. <U+00C7>eyrek - Quarter II","20829","14620","1217","4162","829",NA,"2894","408","56","1885","545",NA,"17935","14213","1161","2277","285",NA,NA,"II. <U+00C7>eyrek - Quarter II","9936","6962","162","910","1902",NA,"2091","216","3","221","1651",NA,"7846","6747","159","689","251"
NA,"III. <U+00C7>eyrek - Quarter III","31160","21855","1374","4995","2937",NA,"5263","830","64","2028","2341",NA,"25898","21024","1310","2968","596",NA,NA,"III. <U+00C7>eyrek - Quarter III","21125","14844","1208","4132","940",NA,"2974","512","61","1796","605",NA,"18151","14332","1147","2336","335",NA,NA,"III. <U+00C7>eyrek - Quarter III","10035","7010","166","863","1996",NA,"2289","318","3","232","1735",NA,"7747","6692","162","632","261"
NA,"IV. <U+00C7>eyrek - Quarter IV","31556","22604","1417","5068","2467",NA,"4650","684","58","1994","1914",NA,"26906","21920","1359","3074","553",NA,NA,"IV. <U+00C7>eyrek - Quarter IV","21258","15134","1246","4114","764",NA,"2662","415","57","1729","461",NA,"18596","14719","1189","2385","303",NA,NA,"IV. <U+00C7>eyrek - Quarter IV","10298","7470","171","954","1703",NA,"1988","269","1","265","1454",NA,"8310","7201","170","689","249"
"2023","I. <U+00C7>eyrek - Quarter I","30856","22194","1426","5017","2219",NA,"4156","455","51","1995","1655",NA,"26700","21739","1375","3023","564",NA,"2023","I. <U+00C7>eyrek - Quarter I","20843","14852","1255","4038","699",NA,"2521","324","48","1752","397",NA,"18323","14528","1207","2286","302",NA,"2023","I. <U+00C7>eyrek - Quarter I","10013","7342","171","980","1520",NA,"1635","131","3","243","1258",NA,"8377","7211","168","737","262"
NA,"II. <U+00C7>eyrek - Quarter II","31507","22415","1472","5127","2493",NA,"4690","619","63","2059","1949",NA,"26817","21796","1409","3069","544",NA,NA,"II. <U+00C7>eyrek - Quarter II","21187","14974","1303","4147","762",NA,"2764","416","56","1812","480",NA,"18423","14558","1248","2335","282",NA,NA,"II. <U+00C7>eyrek - Quarter II","10319","7440","169","980","1730",NA,"1925","203","7","246","1469",NA,"8394","7237","161","734","261"
NA,"III. <U+00C7>eyrek - Quarter III","32043","22638","1486","5171","2749",NA,"5174","815","51","2112","2196",NA,"26869","21823","1435","3059","552",NA,NA,"III. <U+00C7>eyrek - Quarter III","21614","15205","1311","4241","857",NA,"2952","505","47","1851","549",NA,"18662","14700","1264","2391","308",NA,NA,"III. <U+00C7>eyrek - Quarter III","10429","7433","175","929","1892",NA,"2222","310","4","261","1647",NA,"8207","7123","171","668","245"
NA,"IV. <U+00C7>eyrek - Quarter IV","32020","23021","1506","5129","2364",NA,"4494","599","46","2049","1799",NA,"27526","22422","1460","3079","566",NA,NA,"IV. <U+00C7>eyrek - Quarter IV","21474","15263","1319","4146","746",NA,"2630","374","42","1786","427",NA,"18844","14889","1276","2360","319",NA,NA,"IV. <U+00C7>eyrek - Quarter IV","10546","7758","187","983","1618",NA,"1864","225","4","264","1371",NA,"8682","7533","183","719","247"
"2024","I. <U+00C7>eyrek - Quarter I","32013","23044","1486","5160","2323",NA,"4254","436","49","2041","1729",NA,"27758","22608","1437","3120","594",NA,"2024","I. <U+00C7>eyrek - Quarter I","21383","15192","1310","4136","746",NA,"2555","304","45","1783","422",NA,"18829","14887","1265","2352","324",NA,"2024","I. <U+00C7>eyrek - Quarter I","10629","7852","176","1025","1576",NA,"1699","131","4","257","1307",NA,"8930","7721","172","767","270"
NA,"II. <U+00C7>eyrek - Quarter II","32696","23153","1492","5347","2705",NA,"4896","655","58","2126","2057",NA,"27800","22498","1434","3221","647",NA,NA,"II. <U+00C7>eyrek - Quarter II","21840","15353","1316","4303","868",NA,"2823","400","55","1851","517",NA,"19017","14953","1261","2452","351",NA,NA,"II. <U+00C7>eyrek - Quarter II","10856","7800","176","1044","1836",NA,"2073","255","3","275","1540",NA,"8784","7545","173","769","296"
NA,"III. <U+00C7>eyrek - Quarter III","32993","23270","1547","5332","2845",NA,"5163","770","66","2130","2197",NA,"27830","22499","1481","3202","648",NA,NA,"III. <U+00C7>eyrek - Quarter III","22142","15612","1349","4279","902",NA,"2878","449","55","1836","538",NA,"19264","15163","1294","2443","364",NA,NA,"III. <U+00C7>eyrek - Quarter III","10851","7658","198","1053","1943",NA,"2285","321","11","294","1659",NA,"8566","7336","187","759","284"
NA,"IV. <U+00C7>eyrek - Quarter IV","32658","23294","1509","5294","2561",NA,"4658","614","54","2080","1910",NA,"28001","22681","1454","3214","652",NA,NA,"IV. <U+00C7>eyrek - Quarter IV","21803","15437","1317","4204","845",NA,"2728","388","46","1800","494",NA,"19076","15049","1271","2404","351",NA,NA,"IV. <U+00C7>eyrek - Quarter IV","10855","7857","192","1089","1717",NA,"1930","225","8","280","1416",NA,"8925","7632","183","810","301"
"2025","I. <U+00C7>eyrek - Quarter I","31929","22992","1504","5154","2280",NA,"4178","436","49","2003","1690",NA,"27751","22556","1455","3151","590",NA,"2025","I. <U+00C7>eyrek - Quarter I","21406","15167","1340","4133","767",NA,"2536","304","46","1743","443",NA,"18871","14863","1295","2389","324",NA,"2025","I. <U+00C7>eyrek - Quarter I","10523","7825","164","1022","1513",NA,"1642","131","3","260","1247",NA,"8881","7693","160","762","266"
NA,"II. <U+00C7>eyrek - Quarter II","32623","23286","1551","5309","2477",NA,"4601","574","63","2103","1862",NA,"28022","22712","1488","3206","615",NA,NA,"II. <U+00C7>eyrek - Quarter II","21794","15366","1379","4239","810",NA,"2699","353","57","1811","477",NA,"19095","15012","1322","2428","333",NA,NA,"II. <U+00C7>eyrek - Quarter II","10829","7921","173","1069","1667",NA,"1903","221","6","291","1385",NA,"8927","7700","166","778","282"
NA,"III. <U+00C7>eyrek - Quarter III","33068","23608","1505","5265","2690",NA,"4998","754","75","2093","2076",NA,"28070","22854","1431","3172","614",NA,NA,"III. <U+00C7>eyrek - Quarter III","22143","15723","1316","4200","904",NA,"2837","429","63","1782","563",NA,"19306","15294","1252","2419","341",NA,NA,"III. <U+00C7>eyrek - Quarter III","10925","7885","190","1065","1786",NA,"2161","326","11","312","1513",NA,"8764","7559","179","753","273"
