"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Period_Forecast"
"Naive",204.45,582.35,475612.15,1.87,4089,0.351,31480
"Moving Average",198.77,443.68,281521.23,1.42,3776.67,0.448,32401.67
"Weighted MA",135.22,321.71,144499.32,1.03,2569.2,0.42,32150.7
"Exponential Smoothing",773.12,922.31,1146202.6,2.96,16235.46,0.838,32261.64
"Trend-Adjusted ES",-1109.88,1109.88,1534334.18,3.6,-23307.51,-1,32545.67
"Linear Trend",0,615.21,618351.28,2,0,0,33614.64
"Seasonal Indices",-0.85,524.48,394852.8,1.7,-17.92,-0.002,33514.06
"Additive Decomposition",39.62,119.72,19945.04,0.38,673.55,0.331,32587.44
"Multiplicative Decomposition",40.35,121.74,21214.85,0.39,685.95,0.331,32588.43
"Regression w/ Dummies",0,510.42,371261.42,1.65,0,0,33753.03
